model,family,feature_set,cutoff,mtu_minutes,crps,pinball_p10,pinball_p50,pinball_p90,mae,skill_score_crps,train_wall_clock,inference_wall_clock
sarima,classical,price-only,2023-01-01,60,18.8293673453329,5.109549281330006,13.635807783888852,9.498693952780497,27.271615567777705,-0.47584851824947605,3.73646171099972,1.5025122490005742
sarima,classical,price-only,2024-01-01,60,26.442454975325244,6.519737530512022,19.57697969820767,13.566965234268173,39.15395939641534,-1.2995938667529292,4.572389568998915,2.208536677000666
sarima,classical,price-only,2025-01-01,60,5.810137196667964,3.0363815880070177,3.8390969981363745,1.8397272088585552,7.678193996272749,0.45851470674110306,6.066295041000558,2.0227870429989707
ets,classical,price-only,2023-01-01,60,57.609954627749026,22.463421916276673,45.01889072338594,18.932619301960923,90.03778144677187,-3.5154765220965922,65.83957360199929,0.0014163020023261197
ets,classical,price-only,2024-01-01,60,25.091584795496903,12.794652234365723,17.92534100657608,6.917383952303555,35.85068201315216,-1.1821141250568021,35.748568580998835,0.0015229950004140846
ets,classical,price-only,2025-01-01,60,23.643728577619616,5.825486475565772,17.369619278725313,12.27048711213834,34.739238557450626,-1.2035161768517817,44.68602335700052,0.0030598460034525488
lear,ml,price-only,2023-01-01,60,27.713923005829,21.278085071934175,13.856961502914496,6.435837933894823,27.713923005828992,-1.1722212676025339,2.4749970179982483e-06,0.3503269180000643
lear,ml,price-only,2024-01-01,60,11.164561576356467,5.956395267670782,5.582280788178232,5.208166308685683,11.164561576356464,0.029063021949649492,1.9940016500186175e-06,0.47502924999935203
lear,ml,price-only,2025-01-01,60,12.394732889928022,11.155259600935223,6.197366444964011,1.2394732889928022,12.394732889928022,-0.15514752003057075,1.562999386806041e-06,0.6475505509988579
lgbm,gbdt,full-features,2023-01-01,60,9.903169421863257,2.031393951595973,9.210664619854663,3.6126955613442497,18.421329239709326,0.2237881576593137,0.1473564299994905,0.003457762999460101
lgbm,gbdt,full-features,2024-01-01,60,8.79203005935548,2.5228175916815165,7.280612608831665,3.384614888520039,14.56122521766333,0.23539253750577416,0.13067418099672068,0.003413768998143496
lgbm,gbdt,full-features,2025-01-01,60,4.320136739012445,0.9961936436403266,2.2030421108155775,3.2809693540627634,4.406084221631155,0.5973777503250284,0.17480400599743007,0.0031390559997817036
xgboost,gbdt,full-features,2023-01-01,60,14.427840088208514,4.0743809825579325,9.749462938308715,7.817916211446124,19.49892587661743,-0.13085617935011196,0.43249813800139236,0.003528376000758726
xgboost,gbdt,full-features,2024-01-01,60,9.341885773340861,2.840790824890137,6.39285713036855,4.779180704752603,12.7857142607371,0.18757379947030228,0.4696726110014424,0.003318246999697294
xgboost,gbdt,full-features,2025-01-01,60,6.392342224957214,0.5877969004139305,2.779228636423747,6.221487800598143,5.558457272847494,0.4042551514485354,0.5994244619978417,0.0031233170011546463
catboost,gbdt,full-features,2023-01-01,60,10.069293108777787,1.9725364211461667,9.432591074365773,3.6988121676547423,18.865182148731545,0.210767359207489,0.4375045139968279,0.00238741800058051
catboost,gbdt,full-features,2024-01-01,60,12.396860853297865,2.532098356165839,8.184786358519068,7.878406565261891,16.369572717038135,-0.07810508562216456,0.5033733250020305,0.00217962299939245
catboost,gbdt,full-features,2025-01-01,60,3.1067228753709686,0.8023372646437318,1.6092740169835456,2.248473031429176,3.218548033967091,0.7104638513167782,0.6331076189999294,0.002173130000301171
nbeats,deep,price-only,2023-01-01,60,9.825292748469481,3.0632266398914765,7.924237473206783,3.7504750096059625,15.848474946413566,0.22989214251055679,7.75196221099759,0.012055452996719396
nbeats,deep,price-only,2024-01-01,60,9.123533045824166,3.449804071094331,4.709558273504489,5.525937224137429,9.419116547008977,0.20656305721716128,11.780498036001518,0.010434191000967985
nbeats,deep,price-only,2025-01-01,60,10.486755783156061,1.2361272933664798,8.633957820422903,5.8600485609447075,17.267915640845807,0.022669544906238293,15.010198607000348,0.01020045699988259
tft,deep,full-features,2023-01-01,60,15.29161612906554,7.281872480760273,11.527973701109637,4.127578011728402,23.055947402219275,-0.19855906955445102,126.00276134699743,0.3110662230028538
tft,deep,full-features,2024-01-01,60,13.470335599166413,2.9793078599544636,12.139450207969801,5.0867453308253525,24.278900415939603,-0.1714608630648038,191.67766754700278,0.3199198590009473
tft,deep,full-features,2025-01-01,60,47.06131365877184,27.893950527865854,32.93644422691791,9.76157573337399,65.87288845383581,-3.385956538562148,255.21644733599896,0.38420977300120285
chronos2,foundation,full-features,2023-01-01,60,8.271808085219659,2.4108582176753868,7.197057759257498,2.799796150896603,14.394115518514996,0.3516544936470549,0.00776799799859873,581.4648741950004
chronos2,foundation,full-features,2024-01-01,60,5.157464711663224,1.7362366218236558,4.7496210380669055,1.2503394076042762,9.499242076133811,0.5514760550787499,0.0052397430008568335,584.2203060870015
chronos2,foundation,full-features,2025-01-01,60,5.944630444688031,2.1904926443666097,4.260726543168861,2.465726479496576,8.521453086337722,0.445980387261134,0.007184767997387098,579.6230219220015
timesfm,foundation,price-only,2023-01-01,60,9.889290460999087,3.1462695458332104,7.798685130374995,3.888981015290423,15.59737026074999,0.22487599260621138,7.320049917325377e-07,4.501372364000417
timesfm,foundation,price-only,2024-01-01,60,5.384168672178981,1.7167202302371642,4.700165509349482,1.6593672686818255,9.400331018698964,0.5317605242153294,5.110050551593304e-07,4.351218923999113
timesfm,foundation,price-only,2025-01-01,60,4.47039001820467,1.2897449147643238,2.9752037403154525,2.440636372227228,5.950407480630905,0.5833746488159673,6.409973138943315e-07,4.398726502004138
sarima,classical,price-only,2026-01-01,15,8.884449184647957,2.311336436013305,6.329375084024329,4.685962256934301,12.658750168048657,0.8626414807143736,145.01607560199773,1.4585952540001017
ets,classical,price-only,2026-01-01,15,27.243235857790022,3.7418742470881425,25.31065641294349,11.812323126653396,50.62131282588698,0.5788044413106296,1.4948862079982064,0.0030943670062697493
