model,cutoff,timestamp,crps
lgbm,2023-01-01,2023-01-01 00:00:00+00:00,7.28548687849842
lgbm,2023-01-01,2023-01-01 01:00:00+00:00,8.088958055281617
lgbm,2023-01-01,2023-01-01 02:00:00+00:00,8.177960092482401
lgbm,2023-01-01,2023-01-01 03:00:00+00:00,8.1879600924824
lgbm,2023-01-01,2023-01-01 04:00:00+00:00,8.177960092482401
lgbm,2023-01-01,2023-01-01 05:00:00+00:00,8.174626759149069
lgbm,2023-01-01,2023-01-01 06:00:00+00:00,8.005201175045691
lgbm,2023-01-01,2023-01-01 07:00:00+00:00,7.497270964520099
lgbm,2023-01-01,2023-01-01 08:00:00+00:00,7.140604297853432
lgbm,2023-01-01,2023-01-01 09:00:00+00:00,6.697270964520098
lgbm,2023-01-01,2023-01-01 10:00:00+00:00,6.153937631186767
lgbm,2023-01-01,2023-01-01 11:00:00+00:00,6.84831957073055
lgbm,2023-01-01,2023-01-01 12:00:00+00:00,6.987623737854649
lgbm,2023-01-01,2023-01-01 13:00:00+00:00,3.5515575952755434
lgbm,2023-01-01,2023-01-01 14:00:00+00:00,5.23445046443065
lgbm,2023-01-01,2023-01-01 15:00:00+00:00,9.32715278185773
lgbm,2023-01-01,2023-01-01 16:00:00+00:00,12.561349553559843
lgbm,2023-01-01,2023-01-01 17:00:00+00:00,18.432120078295398
lgbm,2023-01-01,2023-01-01 18:00:00+00:00,18.126925629744424
lgbm,2023-01-01,2023-01-01 19:00:00+00:00,13.88761411325793
lgbm,2023-01-01,2023-01-01 20:00:00+00:00,12.246787674968681
lgbm,2023-01-01,2023-01-01 21:00:00+00:00,13.237999179226208
lgbm,2023-01-01,2023-01-01 22:00:00+00:00,10.164670344341497
lgbm,2023-01-01,2023-01-01 23:00:00+00:00,23.48225839767268
lgbm,2024-01-01,2024-01-01 00:00:00+00:00,2.4569697806315025
lgbm,2024-01-01,2024-01-01 01:00:00+00:00,2.6999742469203283
lgbm,2024-01-01,2024-01-01 02:00:00+00:00,2.90596023949306
lgbm,2024-01-01,2024-01-01 03:00:00+00:00,3.419396917309475
lgbm,2024-01-01,2024-01-01 04:00:00+00:00,4.346063583976142
lgbm,2024-01-01,2024-01-01 05:00:00+00:00,3.8827302506428083
lgbm,2024-01-01,2024-01-01 06:00:00+00:00,3.7207673383602624
lgbm,2024-01-01,2024-01-01 07:00:00+00:00,3.3207673383602625
lgbm,2024-01-01,2024-01-01 08:00:00+00:00,2.7482777792106217
lgbm,2024-01-01,2024-01-01 09:00:00+00:00,5.870221487867347
lgbm,2024-01-01,2024-01-01 10:00:00+00:00,6.892812399284714
lgbm,2024-01-01,2024-01-01 11:00:00+00:00,6.559494081883713
lgbm,2024-01-01,2024-01-01 12:00:00+00:00,7.224297107965456
lgbm,2024-01-01,2024-01-01 13:00:00+00:00,8.106645240165495
lgbm,2024-01-01,2024-01-01 14:00:00+00:00,12.621866502078758
lgbm,2024-01-01,2024-01-01 15:00:00+00:00,20.709996438994498
lgbm,2024-01-01,2024-01-01 16:00:00+00:00,26.980487299482622
lgbm,2024-01-01,2024-01-01 17:00:00+00:00,24.585937236667288
lgbm,2024-01-01,2024-01-01 18:00:00+00:00,18.724628143811973
lgbm,2024-01-01,2024-01-01 19:00:00+00:00,11.85160405161821
lgbm,2024-01-01,2024-01-01 20:00:00+00:00,9.024694573270116
lgbm,2024-01-01,2024-01-01 21:00:00+00:00,9.434294381673581
lgbm,2024-01-01,2024-01-01 22:00:00+00:00,6.535981203241806
lgbm,2024-01-01,2024-01-01 23:00:00+00:00,6.384853801621477
lgbm,2025-01-01,2025-01-01 00:00:00+00:00,3.776772080400707
lgbm,2025-01-01,2025-01-01 01:00:00+00:00,3.80423883648737
lgbm,2025-01-01,2025-01-01 02:00:00+00:00,3.648233996031957
lgbm,2025-01-01,2025-01-01 03:00:00+00:00,3.56514274476405
lgbm,2025-01-01,2025-01-01 04:00:00+00:00,3.443312094340731
lgbm,2025-01-01,2025-01-01 05:00:00+00:00,2.958147651056002
lgbm,2025-01-01,2025-01-01 06:00:00+00:00,2.974460686451172
lgbm,2025-01-01,2025-01-01 07:00:00+00:00,3.067706556107939
lgbm,2025-01-01,2025-01-01 08:00:00+00:00,2.9410813583888555
lgbm,2025-01-01,2025-01-01 09:00:00+00:00,2.905097952708972
lgbm,2025-01-01,2025-01-01 10:00:00+00:00,3.587911387237354
lgbm,2025-01-01,2025-01-01 11:00:00+00:00,3.5764744180917245
lgbm,2025-01-01,2025-01-01 12:00:00+00:00,3.596474418091724
lgbm,2025-01-01,2025-01-01 13:00:00+00:00,4.079978018408149
lgbm,2025-01-01,2025-01-01 14:00:00+00:00,5.473509848663681
lgbm,2025-01-01,2025-01-01 15:00:00+00:00,6.828702608801671
lgbm,2025-01-01,2025-01-01 16:00:00+00:00,7.45258465225902
lgbm,2025-01-01,2025-01-01 17:00:00+00:00,6.916719617013412
lgbm,2025-01-01,2025-01-01 18:00:00+00:00,5.141067666398594
lgbm,2025-01-01,2025-01-01 19:00:00+00:00,4.7441403275594745
lgbm,2025-01-01,2025-01-01 20:00:00+00:00,4.350308431479845
