model,family,crps_price_only,crps_efficient,crps_delta
xgboost,gbdt,11.722515514250153,10.158308805574974,-1.5642067086751794
catboost,gbdt,8.657133740179411,8.009389746553294,-0.6477439936261167
tft,deep,20.953852331330136,20.06194641180025,-0.8919059195298864
chronos2,foundation,6.886628935613935,6.71110043331294,-0.17552850230099448
