model,family,feature_set,n_folds,CRPS,MAE,total_compute_s,pareto_optimal
chronos2,foundation,full-features,1,19.056986213864814,29.391986710008695,1316.2683930349958,False
nbeats,deep,price-only,1,28.119861346888328,31.06125350831466,4.045276607008418,False
ets,classical,price-only,3,35.44842266695518,53.54256733912488,146.28016468300484,False
catboost,gbdt,full-features,1,12.992671813043295,23.536275948378222,0.2470550100042601,False
lear,ml,price-only,3,17.091072490704494,17.09107249070449,1.4729127509963291,False
sarima,classical,price-only,1,8.884449184647957,12.658750168048657,146.47467085599783,False
chronos2,foundation,full-features,3,6.457967747190305,10.804936893662175,1745.3283947130003,False
catboost,gbdt,full-features,3,8.524292279148874,12.81776763324559,1.5807256289990619,False
lear,ml,price-only,1,53.89654603463191,53.89654603463191,1.0721376450019307,False
nbeats,deep,price-only,3,9.81186052581657,14.17850237808945,34.575348954997025,False
tft,deep,full-features,1,4.654597560101414,7.6031131260318645,66.67992231500102,True
lgbm,gbdt,full-features,1,15.874345608547932,24.08121063937001,0.08135247499740217,True
tft,deep,full-features,3,25.27442179566793,37.7359120906649,573.9120720850042,False
sarima,classical,price-only,3,17.027319839108703,24.701256320155263,20.108982289999403,False
timesfm,foundation,price-only,1,39.126321768168886,54.351724565073916,4.222872378995817,False
timesfm,foundation,price-only,3,6.581283050460914,10.316036253359952,13.251319674011029,True
xgboost,gbdt,full-features,1,12.361093843049472,24.973168578147888,0.24209418799728155,True
lgbm,gbdt,full-features,3,7.67177874007706,12.462879559667938,0.46284520499102655,True
xgboost,gbdt,full-features,3,10.054022695502196,12.614365803400673,1.5115651510022872,False
ets,classical,price-only,1,27.243235857790022,50.62131282588698,1.4979805750044761,False
